gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000005,,,11.1800,134.1600,339.3298,5882.1680,5952.0781,5550.3672,30SEP1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.5000,134.1600,339.3298,6029.3789,6162.7969,5833.7188,31OCT1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.5000,134.1600,339.3298,6521.6992,6606.2969,5975.3398,30NOV1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1414.0000,,11.5000,138.0000,353.8799,6448.2695,6623.9570,6206.8281,31DEC1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.1000,138.0000,353.8799,6813.0898,6953.5469,6318.9570,31JAN1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.1000,138.0000,353.8799,6877.7383,7112.8672,6683.3984,28FEB1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.1000,133.2000,375.0398,6583.4766,7158.2773,6532.4883,31MAR1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.0700,133.2000,375.0398,7008.9883,7081.2266,6315.8398,30APR1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.0700,133.2000,375.0398,7331.0391,7430.1992,6891.3867,31MAY1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.0700,132.8400,373.7200,7672.7891,7868.4375,7214.2891,30JUN1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.4400,132.8400,373.7200,8222.6094,8328.9883,7613.5273,31JUL1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.4400,132.8400,373.7200,7622.4180,8340.1367,7580.8477,31AUG1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.4400,137.2800,384.1199,7945.2578,8078.3594,7556.2266,30SEP1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.7500,137.2800,384.1199,7442.0781,8218.3398,6936.4492,31OCT1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.7600,137.2800,384.1199,7823.1289,7934.5273,7334.7695,30NOV1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1594.1400,,11.7600,141.0800,391.2898,7908.2500,8209.5586,7563.2266,31DEC1997,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.0770,141.0800,391.2898,7906.5000,8072.9063,7391.5898,31JAN1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.0770,141.0800,391.2898,8545.7188,8616.7188,7987.4570,28FEB1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.0760,144.9200,387.4400,8799.8086,8997.1094,8377.3164,31MAR1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.3300,144.9200,387.4400,9063.3700,9287.3200,8715.6100,30APR1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.3300,144.9200,387.4400,8899.9500,9311.9800,8760.9500,31MAY1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.3200,147.9200,390.2500,8952.0200,9155.0400,8524.5500,30JUN1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.8900,147.9200,390.2500,8883.2900,9412.6400,8786.4800,31JUL1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.8900,147.9200,390.2500,7539.0700,8948.1700,7517.7000,31AUG1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,12.8800,154.6400,367.0200,7842.6200,8253.7900,7379.7000,30SEP1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.0870,154.6400,367.0200,8592.1000,8718.2500,7399.3800,31OCT1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.0870,154.6400,367.0200,9116.5500,9457.9500,8573.5600,30NOV1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1691.6800,,13.0860,157.0400,383.3500,9181.4300,9390.7500,8610.6300,31DEC1998,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.4000,157.0400,383.3500,9358.8300,9751.4600,8994.2600,31JAN1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
